Group,Launch Ciruclation,Vesting Total,Year 1 Total Vested,Year 2 Total Vested,Year 3 Total Vested,Year 4 Total Vested,Launch Allocation
Jackal Labs Inc.,24900000,24900000,6225000,12450000,18675000,24900000,24.9\%
Core Employees \& Contractors,4100000,4100000,1025000,2050000,,,4.1\%
Seed Funding,1000000,1000000,500000,1000000,,,1\%
Private Partcipants,7500000,7500000,3750000,7500000,,,7.5\%
Advisors,2000000,2000000,1000000,2000000,,,2\%
SCRT Air Drop,1666666.67,,,,,,1.67\%
Juno Aidrop,1666666.67,,,,,,1.67\%
Atom Airdrop,1666666.67,,,,,,1.67\%
Dex Liquidity,500000,,,,,,0.5\%
Launch Expenses \& Incentivized Testing,500000,,,,,,0.5\%
Developer Grants,12000000,12000000,4000000,8000000,12000000,,12\%
Cyber Security Bounties ,5000000,5000000,1666666.67,3333333.33,5000000,,5\%
LP Rewards ,15000000,,,,,,15\%
Fundraising Remainder,10000000,,,,,,10\%
Community Pool,12500000,12500000,4166666.67,8333333.33,12500000,,12.5\%
Total,100000000,69000000,,,,,100\%
